Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR001354,2009-06-10 19:30:55,2009-06-10 19:30:55,25162805,880698175,0,35,6434,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR001/SRR001354/SRR001354.sra,SRX000353,DH10B,WGS,RANDOM,GENOMIC,SINGLE,0,0,ABI_SOLID,AB SOLiD System,SRP000199,PRJNA30003,0,30003,SRS000467,SAMN00000652,316385,Escherichia coli str. K-12 substr. DH10B,E.coli DH10B sample,,,,,,,no,,,,,JCVI,SRA001031,,public,4737E29266915983386EE1289BE3B799,1278D58706798B6E4E167AB59C61D480
SRR765912,2014-02-25 16:32:12,2014-02-25 16:32:12,210572,22068224,0,104,17,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR765/SRR765912/SRR765912.sra,SRX245880,,WGS,RANDOM,GENOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent PGM,SRP018873,PRJNA191052,0,191052,SRS397918,SAMN01924668,316385,Escherichia coli str. K-12 substr. DH10B,EColi,,,,,,,no,,,,,Institute of Molecular and Cellular Biology,SRA067633,,public,9D25EB2FB7754E08F97EC30FE40A1BBD,6C004131ED1FABD1945BFF3AC67A87BE
SRR765913,2014-02-25 16:32:12,2014-02-25 16:32:12,1026205,118414135,0,115,96,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR765/SRR765913/SRR765913.sra,SRX245880,,WGS,RANDOM,GENOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent PGM,SRP018873,PRJNA191052,0,191052,SRS397918,SAMN01924668,316385,Escherichia coli str. K-12 substr. DH10B,EColi,,,,,,,no,,,,,Institute of Molecular and Cellular Biology,SRA067633,,public,EFF5ED7980D23A351BD6DB5E5B79CCF3,EE845C043F30B97D2A6875D6575B99CB
SRR765914,2014-02-25 16:32:12,2014-02-25 16:32:12,1008125,50406250,1008125,50,24,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR765/SRR765914/SRR765914.sra,SRX245881,,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP018873,PRJNA191052,0,191052,SRS397918,SAMN01924668,316385,Escherichia coli str. K-12 substr. DH10B,EColi,,,,,,,no,,,,,Institute of Molecular and Cellular Biology,SRA067633,,public,A2EECAB1AE832C925ADCAF686D0D890D,1493D0237E2ECABFDDBAE6BF75CC030E
SRR765915,2014-02-25 16:32:12,2014-02-25 16:32:12,5809273,290463650,5809273,50,173,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR765/SRR765915/SRR765915.sra,SRX245881,,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP018873,PRJNA191052,0,191052,SRS397918,SAMN01924668,316385,Escherichia coli str. K-12 substr. DH10B,EColi,,,,,,,no,,,,,Institute of Molecular and Cellular Biology,SRA067633,,public,B29E21872815135DC5B7BCD2316901C3,57830C07A9D5C5AA6A8A53A35E080EC0
SRR765917,2014-02-25 16:32:12,2014-02-25 16:32:12,11414699,593564348,11414699,52,338,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR765/SRR765917/SRR765917.sra,SRX245881,,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP018873,PRJNA191052,0,191052,SRS397918,SAMN01924668,316385,Escherichia coli str. K-12 substr. DH10B,EColi,,,,,,,no,,,,,Institute of Molecular and Cellular Biology,SRA067633,,public,E962EF34A20C40AF9980FC7C83E978A2,A95DA81F5A10C66D8034147187149CAD
SRR959237,2013-08-30 02:04:13,2013-08-30 02:04:13,10904305,2137243780,10904305,196,1160,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR959/SRR959237/SRR959237.sra,SRX341188,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029312,PRJNA217292,0,217292,SRS474394,SAMN02334871,316385,Escherichia coli str. K-12 substr. DH10B,Library prep E. coli,,,,,,,no,,,,,"Centre for Geogenetics, Natural History Museum of ",SRA099068,,public,61A13D305E2F555F77044A12AE36B77A,D73219F4D1338A728B6606D6A9E8D0DA
SRR959238,2013-08-30 02:07:06,2013-08-30 02:07:06,14572674,2856244104,14572674,196,1546,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR959/SRR959238/SRR959238.sra,SRX341191,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029312,PRJNA217292,0,217292,SRS474394,SAMN02334871,316385,Escherichia coli str. K-12 substr. DH10B,Library prep E. coli,,,,,,,no,,,,,"Centre for Geogenetics, Natural History Museum of ",SRA099068,,public,1A61E58A0341023BA09F4D0E8155107E,0C9825196D62E62F76DB5F0FECA6FE79
SRR959239,2013-08-30 01:56:06,2013-08-30 01:56:06,2686416,526537536,2686416,196,285,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR959/SRR959239/SRR959239.sra,SRX341194,,WGA,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029312,PRJNA217292,0,217292,SRS474394,SAMN02334871,316385,Escherichia coli str. K-12 substr. DH10B,Library prep E. coli,,,,,,,no,,,,,"Centre for Geogenetics, Natural History Museum of ",SRA099068,,public,84CED505E28FECD3414D755AECFD5FE3,12B51F4E00F30E23B7EC2BE8E480EC8A
SRR959240,2013-08-30 02:02:15,2013-08-30 02:02:15,3368476,660221296,3368476,196,358,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR959/SRR959240/SRR959240.sra,SRX341197,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029312,PRJNA217292,0,217292,SRS474394,SAMN02334871,316385,Escherichia coli str. K-12 substr. DH10B,Library prep E. coli,,,,,,,no,,,,,"Centre for Geogenetics, Natural History Museum of ",SRA099068,,public,8E521C825BC3A0C26A5E4121B7D59723,9C214CC47E2AA9AD42DFB7D0D9A05CF3
