Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
DRR000002,2010-03-23 23:11:55,2010-03-23 23:11:55,8316737,598805064,8316737,72,406,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/DRR/DRR000/DRR000002/DRR000002.sra,DRX000002,"B.subtilis subtilis 168 Genomic DNA fragments, isolated Aug                     2008",WGS,RANDOM,GENOMIC,PAIRED,153,29.528,ILLUMINA,Illumina Genome Analyzer II,DRP000002,PRJDA39275,20398357,39275,DRS000002,,224308,Bacillus subtilis subsp. subtilis str. 168,B. subtilis 168 DNA extracted Aug 2008,,,,,,,no,,,,,NIG,DRA000002,,public,00C8A2A252935DCA93B94DF7AFF1E0A7,6F17E612DFA1AE80105C173EC45D78BD
DRR000852,2011-03-11 17:06:15,2011-03-11 17:06:15,1759752,263962800,1759752,150,104,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/DRR/DRR000/DRR000852/DRR000852.sra,DRX000504,B.subtilis 168 genomic DNA of Ogasawara lab's Morimoto stock strain,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,DRP000327,PRJDA62199,21576222,62199,DRS000534,,224308,Bacillus subtilis subsp. subtilis str. 168,DRS000534,,,,,,,no,,,,,TUAGRI,DRA000324,,public,2183774373B44E29D3BD19ACD8ACF055,1E3C727596A2BB2F23704DB7B1B031A1
DRR003364,2014-07-25 12:56:21,2014-07-25 12:56:21,19395222,3879044400,19395222,200,2574,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/DRR/DRR003/DRR003364/DRR003364.sra,DRX002688,B1TgCIBS,OTHER,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,DRP000893,PRJDB1787,23642015,246802,DRS002781,SAMD00000666,224308,Bacillus subtilis subsp. subtilis str. 168,DRS002781,,,,,,,no,,,,,TUAGRI,DRA000859,,public,701A57C09E6188B11B846561956B3202,47F5F123DE93009CCDA1B1AC84F06FD3
DRR003365,2014-07-25 12:56:21,2014-07-25 12:56:21,16905916,3381183200,16905916,200,2239,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/DRR/DRR003/DRR003365/DRR003365.sra,DRX002689,B1TgCISP,OTHER,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,DRP000893,PRJDB1787,23642015,246802,DRS002782,SAMD00000665,224308,Bacillus subtilis subsp. subtilis str. 168,DRS002782,,,,,,,no,,,,,TUAGRI,DRA000859,,public,5FEE81B7B7D9A01390AB89F0A23EDAAB,1F8BB335D8365DAEBAFCB7691EA7639D
DRR003366,2014-07-25 12:56:21,2014-07-25 12:56:21,4433043,886608600,4433043,200,589,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/DRR/DRR003/DRR003366/DRR003366.sra,DRX002690,Tg250SB,OTHER,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,DRP000893,PRJDB1787,23642015,246802,DRS002783,SAMD00000667,224308,Bacillus subtilis subsp. subtilis str. 168,DRS002783,,,,,,,no,,,,,TUAGRI,DRA000859,,public,F6AF3429621ABED0462499239FCD7EB6,F71A01BA236017AA763F8EE790EE717E
DRR008448,2014-04-02 23:24:41,2014-04-02 23:24:41,3262172,489325800,3262172,150,196,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/DRR/DRR008/DRR008448/DRR008448.sra,DRX007636,168-A,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,DRP001007,PRJDB1076,0,237597,DRS007577,SAMD00008600,224308,Bacillus subtilis subsp. subtilis str. 168,DRS007577,,,,,,,no,,,,,TUAGRI,DRA000969,,public,9E0A0A928DB64772E7A8630DE316C8DB,B5E70D057FEE9353634843BCC14DB536
DRR008449,2014-04-02 23:24:41,2014-04-02 23:24:41,2062118,309317700,2062118,150,123,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/DRR/DRR008/DRR008449/DRR008449.sra,DRX007637,168-B,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,DRP001007,PRJDB1076,0,237597,DRS007578,SAMD00008604,224308,Bacillus subtilis subsp. subtilis str. 168,DRS007578,,,,,,,no,,,,,TUAGRI,DRA000969,,public,CE403716B719F7FA04D3A2096C7B093C,ADFE474E4D60151B8B01DA206439AA78
DRR008450,2014-04-02 23:24:41,2014-04-02 23:24:41,1158438,173765700,1158438,150,69,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/DRR/DRR008/DRR008450/DRR008450.sra,DRX007638,168-C,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,DRP001007,PRJDB1076,0,237597,DRS007579,SAMD00008603,224308,Bacillus subtilis subsp. subtilis str. 168,DRS007579,,,,,,,no,,,,,TUAGRI,DRA000969,,public,816DE9A5DFA307EF80E9420ED31D61BA,711CC8F82044CC2FB1E096A1D35EA35D
DRR008451,2014-04-02 23:24:41,2014-04-02 23:24:41,1573827,236074050,1573827,150,94,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/DRR/DRR008/DRR008451/DRR008451.sra,DRX007639,168-C',WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,DRP001007,PRJDB1076,0,237597,DRS007580,SAMD00008606,224308,Bacillus subtilis subsp. subtilis str. 168,DRS007580,,,,,,,no,,,,,TUAGRI,DRA000969,,public,24D7388BE6B41232A71C887A4DEE1472,550AF36B7128CF4CB394EF8D2EF32BF9
DRR008452,2014-04-02 23:24:41,2014-04-02 23:24:41,1982479,297371850,1982479,150,119,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/DRR/DRR008/DRR008452/DRR008452.sra,DRX007640,168-D,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,DRP001007,PRJDB1076,0,237597,DRS007581,SAMD00008610,224308,Bacillus subtilis subsp. subtilis str. 168,DRS007581,,,,,,,no,,,,,TUAGRI,DRA000969,,public,252D78E4EB7E35340A424D54B7A2D777,AB8F338BD986CCE5D8C125A248E3AA62
