"S0h-1_S1","S0h-1_S1.hc","S0h-2_S2","S0h-2_S2.hc","S1h-1_S3","S1h-1_S3.hc","S1h-2_S4","S1h-2_S4.hc","S2h-1_S5","S2h-1_S5.hc","S2h-2_S6","S2h-2_S6.hc","S3h-1_S7","S3h-1_S7.hc","S3h-2_S8","S3h-2_S8.hc","S4h-1_S9","S4h-1_S9.hc","S4h-2_S10","S4h-2_S10.hc","S5h-1_S11","S5h-1_S11.hc","S5h-2_S12","S5h-2_S12.hc","S6h-1_S13","S6h-1_S13.hc","S6h-2_S14","S6h-2_S14.hc","S7h-1_S15","S7h-1_S15.hc","S7h-2_S16","S7h-2_S16.hc","ref_call"
2684.77,5000,2197.77,4252.77,2434.77,4681.77,1503.77,2701.77,3073.77,5000,2325.77,4242.77,2530.77,4963.77,2953.77,5000,2867.77,5000,2657.77,5000,3053.77,5000,2075.77,3909.77,2552.77,5000,2454.77,4287.77,2219.77,3921.77,1860.77,3074.77,1
2764.77,5000,2182.77,4252.77,2454.77,4681.77,1568.77,2701.77,3085.77,5000,2230.77,4242.77,2503.77,4963.77,2929.77,5000,2881.77,5000,2662.77,5000,3087.77,5000,2118.77,3909.77,2598.77,5000,2488.77,4287.77,2366.77,3921.77,1821.77,3074.77,1
2112.77,3838.77,1534.77,2653.77,1637.77,3280.77,1675.77,2950.77,1736.77,3420.77,1731.77,3403.77,2119.77,2240.73,2290.77,4576.77,1768.77,3626.77,2465.77,4660.77,2022.77,4356.77,1945.77,3910.77,2094.77,3971.77,1724.77,3047.77,1557.77,2366.77,1687.77,2712.73,0
2090.77,3838.77,1545.77,2653.77,1676.77,3280.77,1613.77,2950.77,1792.77,3420.77,1726.77,3403.77,2118.77,2233.77,2275.77,4576.77,1798.77,3626.77,2466.77,4660.77,2035.77,4356.77,1924.77,3910.77,2046.77,3971.77,1714.77,3047.77,1555.77,2366.77,1717.77,2707.77,0
3758.73,3133.73,3583.73,3204.73,3664.73,3058.73,2355.73,2008.73,2813.73,2573.73,3786.73,3426.73,3881.73,3359.73,5000,5000,5000,4565.73,4889.73,4264.73,3324.73,2722.73,3391.73,2873.73,3400.73,2834.73,3928.73,3318.73,2758.73,2295.73,3632.73,3091.73,1
2383.77,4718.77,2447.77,4958.77,1732.77,3710.77,2229.77,3792.77,2993.77,5000,3033.77,5000,2518.77,5000,3082.77,5000,2955.77,5000,3926.77,5000,3107.77,5000,2423.77,4756.77,2404.77,4954.77,2952.77,5000,2764.77,5000,1938.77,3626.77,1
2381.77,4718.77,2581.77,4958.77,1810.77,3710.77,2224.77,3792.77,3080.77,5000,2883.77,5000,2611.77,5000,3067.77,5000,3042.77,5000,3948.77,5000,3172.77,5000,2350.77,4756.77,2414.77,4954.77,2856.77,3173.77,2805.77,5000,2012.77,3626.77,1
2346.77,4718.77,2457.77,4958.77,1773.77,1984.77,2017.77,3593.77,3123.77,5000,2841.77,5000,2470.77,5000,2986.77,5000,2925.77,3358.77,4001.77,5000,3086.77,5000,2245.77,4756.77,2455.77,4954.77,2941.77,5000,2817.77,5000,1975.77,3626.77,1
5000,5000,3135.73,2824.73,5000,4963.73,3218.75,3022.73,4343.73,4029.73,4934.73,4638.73,5000,5000,4581.73,4150.73,5000,5000,5000,5000,5000,4881.73,5000,4700.73,5000,5000,5000,4970.73,4496.73,3986.73,5000,4546.73,1
3558.73,3208.73,2437.73,2106.73,4091.73,3470.73,1937.73,1674.73,2904.73,2421.73,5000,4442.73,3777.73,3259.73,5000,4925.73,5000,4889.73,4623.73,4028.73,4993.73,4514.73,3524.73,3213.72,4701.73,4113.73,4067.73,3527.73,3728.73,3132.73,2501.73,2060.73,1
1558.77,2904.77,1337.77,2877.77,1595.77,3302.77,1503.77,2768.77,1833.77,3676.77,1514.77,3257.77,2001.77,4295.77,2699.77,5000,2042.77,4583.77,2260.77,4899.77,1657.77,3575.77,2045.77,2367.77,2310.77,4770.77,2590.77,5000,1558.77,2727.77,1555.77,3019.77,1
1601.77,2904.77,1337.77,2877.77,1572.77,3302.77,1457.77,2768.77,1824.77,3676.77,1557.77,3257.77,2033.77,4295.77,2689.77,5000,2091.77,4583.77,2330.77,4899.77,1717.77,3575.77,2017.77,2358.73,2369.77,4770.77,2574.77,5000,1574.77,2727.77,1642.77,3019.77,1
